Gender,00-02 years,03-05 years,06-08 years,09-11 years,12-14 years,15-17 years,18-20 years,21-23 years,24-26 years,27-29 years,30 or more years
Female,65000,75000,90000,90000,105000,102000,115500,115000,105000,115000,95500
Male,60000,73500,85000,100000,108000,120000,120000,126000,130500,130000,130000
