Gender,00-02 years,03-05 years,06-08 years,09-11 years,12-14 years,15-17 years,18-20 years,21-23 years,24-26 years,27-29 years,30 or more years
Female,41671,44796.5,44449,54173,57645,75008,69336,156250,76050,,78480.5
Male,38199,41671,52783,62507,69452,76397,83342,83342,84036.5,66674,83342
