Gender,00-02 years,03-05 years,06-08 years,09-11 years,12-14 years,15-17 years,18-20 years,21-23 years,24-26 years,27-29 years,30 or more years
Female,47984,55981,67977,71976,60780,107964,58540.5,87971,95968,,911700
Male,53200,53582,63979,75975,88371,95968,95968,95968,94369,99967,111963
