Gender,00-02 years,03-05 years,06-08 years,09-11 years,12-14 years,15-17 years,18-20 years,21-23 years,24-26 years,27-29 years,30 or more years
Female,10620,13800,16980,19638,25476,31848,21186,,21228,,
Male,10620,14754,19104,28128,29862,29724,31848,27600,36084,38208,62439
