Gender,00-02 years,03-05 years,06-08 years,09-11 years,12-14 years,15-17 years,18-20 years,21-23 years,24-26 years,27-29 years,30 or more years
Female,3931,7483,9396,16050.5,36005,46963,18780,,,,
Male,3835.5,7827,12524,18780,30684.5,37571.5,39136,21529.5,25986.5,70442.5,62618
