Gender,00-02 years,03-05 years,06-08 years,09-11 years,12-14 years,15-17 years,18-20 years,21-23 years,24-26 years,27-29 years,30 or more years
Female,29007,48955,56787,61194,72821,73433,67313,50179,,,134626.5
Male,17381,42588,51408,61194,68537,73433,78328,79552,79552,91791,88116
